num_samples,label
339,0
338,0
339,0
340,0
339,0
339,0
343,0
343,0
342,0
342,0
341,0
338,0
341,0
341,0
342,0
343,0
340,0
341,0
342,0
341,0
341,0
342,0
340,0
341,0
341,0
340,0
341,0
340,0
338,0
342,0
341,0
341,0
342,0
341,0
340,0
340,0
340,0
340,0
341,0
341,0
342,0
339,0
341,0
339,0
342,0
340,0
341,0
342,0
340,0
342,0
395,1
392,1
394,1
406,1
400,1
399,1
401,1
402,1
396,1
403,1
398,1
392,1
391,1
400,1
395,1
401,1
395,1
393,1
400,1
395,1
395,1
398,1
400,1
392,1
401,1
390,1
392,1
402,1
392,1
390,1
392,1
388,1
396,1
398,1
395,1
390,1
398,1
392,1
392,1
400,1
395,1
389,1
398,1
394,1
398,1
398,1
396,1
395,1
391,1
384,1
392,1
